"well","time_point","row","plate_column","mean_pixel_value.x","med_pixel_value.x","max_pixel_value.x","total_pixel_value.x","num_pixels.x","num_saturated.x","six_well_position","name","inducer.x","distance_spot","spot_concentration_mM","baseFl","corrFl","noindFl","normFl","mean_pixel_value.y","med_pixel_value.y","max_pixel_value.y","total_pixel_value.y","num_pixels.y","num_saturated.y","inducer.y","baseOD","corrOD","growth_norm_Fl"
"D10",10,"D",10,0.315522875816994,0.0784313725490196,0.862745098039216,136.305882352941,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.000363108206244966,-0.00101835346933382,0.00065524526308885,0.163834422657952,0.164705882352941,0.196078431372549,23.5921568627451,144,0,"IPTG",0.16661220043573,-0.00277777777777777,-0.235888294711987
"D10",11,"D",10,0.315659041394336,0.0784313725490196,0.862745098039216,136.364705882353,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.000226942628902993,-0.00133689839572181,0.00110995576681882,0.163398692810457,0.164705882352941,0.2,23.5294117647059,144,0,"IPTG",0.16661220043573,-0.00321350762527234,-0.34540318438633
"D10",12,"D",10,0.315096223674655,0.0784313725490196,0.862745098039216,136.121568627451,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.000789760348583968,-0.00151762725292127,0.000727866904337298,0.165250544662309,0.164705882352941,0.219607843137255,23.7960784313725,144,0,"IPTG",0.16661220043573,-0.00136165577342046,-0.534545454545319
"D10",13,"D",10,0.314206608569354,0.0784313725490196,0.858823529411765,135.737254901961,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.00167937545388497,-0.00220588235294127,0.000526506899056306,0.167184095860566,0.168627450980392,0.2,24.0745098039215,144,0,"IPTG",0.16661220043573,0.000571895424836627,0.920634920635557
"D10",14,"D",10,0.314043209876543,0.0784313725490196,0.858823529411765,135.666666666667,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.00184277414669598,-0.00259044695319199,0.000747672806496008,0.168246187363834,0.168627450980392,0.211764705882353,24.2274509803921,144,0,"IPTG",0.16661220043573,0.0016339869281046,0.45757575757555
"D10",15,"D",10,0.313743645606391,0.0784313725490196,0.854901960784314,135.537254901961,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.00214233841684797,-0.00300224466891127,0.000859906252063301,0.169226579520697,0.168627450980392,0.219607843137255,24.3686274509804,144,0,"IPTG",0.16661220043573,0.00261437908496734,0.32891414141421
"D10",16,"D",10,0.313444081336238,0.0784313725490196,0.850980392156863,135.407843137255,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.00244190268700095,-0.00389928698752227,0.00145738430052132,0.170288671023965,0.168627450980392,0.219607843137255,24.521568627451,144,0,"IPTG",0.16661220043573,0.00367647058823534,0.396408529741794
"D10",17,"D",10,0.312808641975309,0.0784313725490196,0.862745098039216,135.133333333333,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.00307734204792998,-0.00478642635505381,0.00170908430712383,0.17260348583878,0.172549019607843,0.211764705882353,24.8549019607843,144,0,"IPTG",0.16661220043573,0.00599128540305016,0.28526170798903
"D10",18,"D",10,0.311919026870007,0.0784313725490196,0.850980392156863,134.749019607843,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.00396695715323198,-0.00562405096718808,0.00165709381395611,0.174918300653595,0.176470588235294,0.219607843137255,25.1882352941176,144,0,"IPTG",0.16661220043573,0.00830610021786499,0.19950322901137
"D10",19,"D",10,0.310993100944081,0.0784313725490196,0.847058823529412,134.349019607843,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.00489288307915797,-0.00667293853568354,0.00178005545652557,0.178050108932462,0.176470588235294,0.215686274509804,25.6392156862745,144,0,"IPTG",0.16661220043573,0.0114379084967321,0.155627705627663
"D10",20,"D",10,0.309522512708787,0.0784313725490196,0.843137254901961,133.713725490196,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.00636347131445197,-0.00789760348583872,0.00153413217138674,0.18218954248366,0.180392156862745,0.219607843137255,26.235294117647,144,0,"IPTG",0.16661220043573,0.0155773420479304,0.0984848484848263
"D10",21,"D",10,0.308750907770516,0.0784313725490196,0.843137254901961,133.380392156863,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.00713507625272297,-0.0092699874562619,0.00213491120353893,0.185049019607843,0.184313725490196,0.227450980392157,26.6470588235294,144,0,"IPTG",0.16661220043573,0.0184368191721134,0.115796070005833
"D10",22,"D",10,0.307616194625999,0.0803921568627451,0.835294117647059,132.890196078431,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.00826978939723999,-0.0108371294645805,0.00256734006734047,0.189133986928105,0.188235294117647,0.247058823529412,27.2352941176471,144,0,"IPTG",0.16661220043573,0.0225217864923749,0.113993624271755
"D10",23,"D",10,0.306172839506173,0.0823529411764706,0.83921568627451,132.266666666667,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.00971314451706595,-0.0122689311414802,0.00255578662441423,0.194253812636166,0.196078431372549,0.231372549019608,27.9725490196078,144,0,"IPTG",0.16661220043573,0.0276416122004359,0.0924615614270837
"D10",24,"D",10,0.30439360929557,0.0823529411764706,0.823529411764706,131.498039215686,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.011492374727669,-0.0141315111903348,0.00263913646266586,0.19931917211329,0.2,0.23921568627451,28.7019607843137,144,0,"IPTG",0.16661220043573,0.0327069716775601,0.0806903338127309
"D10",25,"D",10,0.302959331880901,0.0823529411764706,0.823529411764706,130.878431372549,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.012926652142338,-0.015900838449858,0.00297418630752003,0.204575163398693,0.203921568627451,0.247058823529412,29.4588235294118,144,0,"IPTG",0.16661220043573,0.0379629629629632,0.0783444198078442
"D10",26,"D",10,0.301525054466231,0.0823529411764706,0.819607843137255,130.258823529412,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.014360929557008,-0.0173153099623687,0.00295438040536075,0.209041394335512,0.207843137254902,0.250980392156863,30.1019607843137,144,0,"IPTG",0.16661220043573,0.0424291938997824,0.0696308398490668
"D10",27,"D",10,0.300027233115468,0.0823529411764706,0.807843137254902,129.611764705882,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.015858750907771,-0.0188106555753613,0.00295190466759027,0.214542483660131,0.211764705882353,0.258823529411765,30.8941176470588,144,0,"IPTG",0.16661220043573,0.0479302832244011,0.061587465564724
"D10",28,"D",10,0.299064996368918,0.0823529411764706,0.807843137254902,129.196078431373,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.016820987654321,-0.0202366805307982,0.00341569287647718,0.218545751633987,0.219607843137255,0.274509803921569,31.4705882352941,144,0,"IPTG",0.16661220043573,0.0519335511982574,0.0657704469975046
"D10",29,"D",10,0.297939360929557,0.0823529411764706,0.811764705882353,128.709803921569,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.017946623093682,-0.0215240641711229,0.0035774410774409,0.222685185185185,0.223529411764706,0.266666666666667,32.0666666666667,144,0,"IPTG",0.16661220043573,0.0560729847494556,0.0637997262572264
"D10",30,"D",10,0.296822803195352,0.0862745098039216,0.796078431372549,128.227450980392,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.019063180827887,-0.0225853304284675,0.00352214960058055,0.227287581699347,0.227450980392157,0.27843137254902,32.7294117647059,144,0,"IPTG",0.16661220043573,0.0606753812636169,0.0580490724117222
"D10",31,"D",10,0.29668663761801,0.0862745098039216,0.803921568627451,128.16862745098,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.019199346405229,-0.0234856737307717,0.00428632732554275,0.228894335511983,0.227450980392157,0.270588235294118,32.9607843137255,144,0,"IPTG",0.16661220043573,0.062282135076253,0.068821136595509
"D10",32,"D",10,0.295860566448802,0.0862745098039216,0.792156862745098,127.811764705882,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.020025417574437,-0.0244182016240838,0.00439278404964682,0.233360566448802,0.231372549019608,0.286274509803922,33.6039215686275,144,0,"IPTG",0.16661220043573,0.0667483660130722,0.0658111098747574
"D10",33,"D",10,0.295579157588961,0.0862745098039216,0.792156862745098,127.690196078431,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.020306826434278,-0.0252162144319004,0.00490938799762244,0.235348583877996,0.235294117647059,0.286274509803922,33.8901960784314,144,0,"IPTG",0.16661220043573,0.0687363834422662,0.0714234260192928
"D10",34,"D",10,0.294961873638344,0.0901960784313725,0.792156862745098,127.423529411765,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.020924110384895,-0.0260744701921172,0.00515035980722217,0.237826797385621,0.235294117647059,0.290196078431373,34.2470588235294,144,0,"IPTG",0.16661220043573,0.0712145969498914,0.0723216872356395
"D10",35,"D",10,0.294653231663036,0.0901960784313725,0.784313725490196,127.290196078431,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.021232752360203,-0.0265118505314583,0.00527909817125535,0.240822440087146,0.23921568627451,0.27843137254902,34.678431372549,144,0,"IPTG",0.16661220043573,0.0742102396514165,0.0711370586599983
"D10",36,"D",10,0.294108569353667,0.0901960784313725,0.780392156862745,127.054901960784,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.0217774146695719,-0.0270820954644483,0.00530468079487632,0.243600217864924,0.243137254901961,0.298039215686275,35.078431372549,144,0,"IPTG",0.16661220043573,0.0769880174291943,0.0689026808588106
"D10",37,"D",10,0.293736383442266,0.0941176470588235,0.772549019607843,126.894117647059,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.022149600580973,-0.0278924869611143,0.00574288638014128,0.24692265795207,0.243137254901961,0.290196078431373,35.5568627450981,144,0,"IPTG",0.16661220043573,0.0803104575163403,0.0715085750691037
"D10",38,"D",10,0.293809005083515,0.0941176470588235,0.784313725490196,126.925490196078,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.022076978939724,-0.0283843335313923,0.00630735459166828,0.248529411764706,0.247058823529412,0.290196078431373,35.7882352941177,144,0,"IPTG",0.16661220043573,0.0819172113289765,0.0769966956802054
"D10",39,"D",10,0.293563907044299,0.0941176470588235,0.780392156862745,126.819607843137,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.02232207697894,-0.0289603551858454,0.00663827820690541,0.251171023965142,0.250980392156863,0.301960784313726,36.1686274509804,144,0,"IPTG",0.16661220043573,0.0845588235294122,0.0785048553164462
"D10",40,"D",10,0.293899782135076,0.0980392156862745,0.772549019607843,126.964705882353,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.021986201888163,-0.0293366673268633,0.00735046543870028,0.252723311546841,0.250980392156863,0.290196078431373,36.3921568627451,144,0,"IPTG",0.16661220043573,0.0861111111111116,0.0853602438042608
"D10",41,"D",10,0.292910312273057,0.0980392156862745,0.768627450980392,126.537254901961,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.0229756717501819,-0.0296791443850265,0.00670347263484459,0.257625272331155,0.258823529411765,0.298039215686275,37.0980392156863,144,0,"IPTG",0.16661220043573,0.0910130718954253,0.0736539542643603
"D10",42,"D",10,0.293745461147422,0.0980392156862745,0.768627450980392,126.898039215686,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.022140522875817,-0.0300414273453487,0.00790090446953175,0.258333333333334,0.258823529411765,0.286274509803922,37.2,144,0,"IPTG",0.16661220043573,0.091721132897604,0.0861405024112839
"D10",43,"D",10,0.294153957879448,0.101960784313725,0.76078431372549,127.074509803921,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.021732026143791,-0.0301322043969101,0.00840017825311909,0.259694989106754,0.258823529411765,0.298039215686275,37.3960784313726,144,0,"IPTG",0.16661220043573,0.0930827886710244,0.0902441619235025
"D10",44,"D",10,0.293690994916485,0.101960784313725,0.756862745098039,126.874509803921,432,0,"A2","ZBD","IPTG",9,1,0.315885984023239,-0.022194989106754,-0.0303962830923614,0.00820129398560746,0.262990196078432,0.262745098039216,0.313725490196078,37.8705882352942,144,0,"IPTG",0.16661220043573,0.0963779956427021,0.0850950876381758
