well,time_point,row,plate_column,mean_pixel_value,med_pixel_value,max_pixel_value,total_pixel_value,num_pixels,num_saturated,six_well_position,name,spot_inducer,spot_concentration_mM,distance_spot
A3,5,A,3,0.024074074,0.023529412,0.02745098,3.466666667,144,0,A1,ZG,IPTG,0,13.5
A3,6,A,3,0.023583878,0.023529412,0.02745098,3.396078431,144,0,A1,ZG,IPTG,0,13.5
A3,7,A,3,0.023992375,0.023529412,0.02745098,3.454901961,144,0,A1,ZG,IPTG,0,13.5
A3,8,A,3,0.023883442,0.023529412,0.02745098,3.439215686,144,0,A1,ZG,IPTG,0,13.5
A3,9,A,3,0.023828976,0.023529412,0.031372549,3.431372549,144,0,A1,ZG,IPTG,0,13.5
A3,10,A,3,0.023611111,0.023529412,0.02745098,3.4,144,0,A1,ZG,IPTG,0,13.5
A3,11,A,3,0.023828976,0.023529412,0.02745098,3.431372549,144,0,A1,ZG,IPTG,0,13.5
A3,12,A,3,0.024101307,0.023529412,0.02745098,3.470588235,144,0,A1,ZG,IPTG,0,13.5
A3,13,A,3,0.023638344,0.023529412,0.031372549,3.403921569,144,0,A1,ZG,IPTG,0,13.5
A3,14,A,3,0.023556645,0.023529412,0.031372549,3.392156863,144,0,A1,ZG,IPTG,0,13.5
A3,15,A,3,0.023747277,0.023529412,0.02745098,3.419607843,144,0,A1,ZG,IPTG,0,13.5
A3,16,A,3,0.023447712,0.023529412,0.02745098,3.376470588,144,0,A1,ZG,IPTG,0,13.5
A3,17,A,3,0.024046841,0.023529412,0.031372549,3.462745098,144,0,A1,ZG,IPTG,0,13.5
A3,18,A,3,0.023937908,0.023529412,0.02745098,3.447058824,144,0,A1,ZG,IPTG,0,13.5
A3,19,A,3,0.023747277,0.023529412,0.031372549,3.419607843,144,0,A1,ZG,IPTG,0,13.5
A3,20,A,3,0.023474946,0.023529412,0.02745098,3.380392157,144,0,A1,ZG,IPTG,0,13.5
A3,21,A,3,0.023937908,0.023529412,0.02745098,3.447058824,144,0,A1,ZG,IPTG,0,13.5
A3,22,A,3,0.023965142,0.023529412,0.031372549,3.450980392,144,0,A1,ZG,IPTG,0,13.5
A3,23,A,3,0.024346405,0.023529412,0.02745098,3.505882353,144,0,A1,ZG,IPTG,0,13.5
A3,24,A,3,0.024727669,0.023529412,0.02745098,3.560784314,144,0,A1,ZG,IPTG,0,13.5
A3,25,A,3,0.024754902,0.023529412,0.02745098,3.564705882,144,0,A1,ZG,IPTG,0,13.5
A3,26,A,3,0.024455338,0.023529412,0.02745098,3.521568627,144,0,A1,ZG,IPTG,0,13.5
A3,27,A,3,0.025190632,0.023529412,0.031372549,3.62745098,144,0,A1,ZG,IPTG,0,13.5
A3,28,A,3,0.025408497,0.023529412,0.031372549,3.658823529,144,0,A1,ZG,IPTG,0,13.5
A3,29,A,3,0.025299564,0.023529412,0.031372549,3.643137255,144,0,A1,ZG,IPTG,0,13.5
A3,30,A,3,0.026497821,0.02745098,0.031372549,3.815686275,144,0,A1,ZG,IPTG,0,13.5
A3,31,A,3,0.026171024,0.02745098,0.031372549,3.768627451,144,0,A1,ZG,IPTG,0,13.5
A3,32,A,3,0.026497821,0.02745098,0.031372549,3.815686275,144,0,A1,ZG,IPTG,0,13.5
A3,33,A,3,0.027151416,0.02745098,0.031372549,3.909803922,144,0,A1,ZG,IPTG,0,13.5
A3,34,A,3,0.027233115,0.02745098,0.031372549,3.921568627,144,0,A1,ZG,IPTG,0,13.5
A3,35,A,3,0.027559913,0.02745098,0.031372549,3.968627451,144,0,A1,ZG,IPTG,0,13.5
A3,36,A,3,0.028022876,0.02745098,0.031372549,4.035294118,144,0,A1,ZG,IPTG,0,13.5
A3,37,A,3,0.028458606,0.02745098,0.035294118,4.098039216,144,0,A1,ZG,IPTG,0,13.5
A3,38,A,3,0.028703704,0.02745098,0.035294118,4.133333333,144,0,A1,ZG,IPTG,0,13.5
A3,39,A,3,0.0291939,0.02745098,0.035294118,4.203921569,144,0,A1,ZG,IPTG,0,13.5
A3,40,A,3,0.030010893,0.031372549,0.039215686,4.321568627,144,0,A1,ZG,IPTG,0,13.5
A3,41,A,3,0.030310458,0.031372549,0.035294118,4.364705882,144,0,A1,ZG,IPTG,0,13.5
A3,42,A,3,0.030528322,0.031372549,0.035294118,4.396078431,144,0,A1,ZG,IPTG,0,13.5
A3,43,A,3,0.031372549,0.031372549,0.039215686,4.517647059,144,0,A1,ZG,IPTG,0,13.5
A3,44,A,3,0.031672113,0.031372549,0.039215686,4.560784314,144,0,A1,ZG,IPTG,0,13.5
A3,45,A,3,0.032271242,0.031372549,0.039215686,4.647058824,144,0,A1,ZG,IPTG,0,13.5
A3,46,A,3,0.032734205,0.031372549,0.035294118,4.71372549,144,0,A1,ZG,IPTG,0,13.5
A3,47,A,3,0.0333878,0.035294118,0.039215686,4.807843137,144,0,A1,ZG,IPTG,0,13.5
A3,48,A,3,0.033551198,0.035294118,0.039215686,4.831372549,144,0,A1,ZG,IPTG,0,13.5
A3,49,A,3,0.034558824,0.035294118,0.039215686,4.976470588,144,0,A1,ZG,IPTG,0,13.5
A3,50,A,3,0.035130719,0.035294118,0.043137255,5.058823529,144,0,A1,ZG,IPTG,0,13.5
A3,51,A,3,0.035675381,0.035294118,0.039215686,5.137254902,144,0,A1,ZG,IPTG,0,13.5
A3,52,A,3,0.035784314,0.035294118,0.043137255,5.152941176,144,0,A1,ZG,IPTG,0,13.5
A3,53,A,3,0.036601307,0.035294118,0.043137255,5.270588235,144,0,A1,ZG,IPTG,0,13.5
A3,54,A,3,0.037391068,0.037254902,0.043137255,5.384313725,144,0,A1,ZG,IPTG,0,13.5
A3,55,A,3,0.038017429,0.039215686,0.043137255,5.474509804,144,0,A1,ZG,IPTG,0,13.5
A3,56,A,3,0.038099129,0.039215686,0.043137255,5.48627451,144,0,A1,ZG,IPTG,0,13.5
A3,57,A,3,0.039106754,0.039215686,0.043137255,5.631372549,144,0,A1,ZG,IPTG,0,13.5
A3,58,A,3,0.039678649,0.039215686,0.043137255,5.71372549,144,0,A1,ZG,IPTG,0,13.5
