"well","time_point","row","plate_column","mean_pixel_value","med_pixel_value","max_pixel_value","total_pixel_value","num_pixels","num_saturated","inducer","concentration_uM"
"E14",22,"E",14,0.100081699346405,0.0980392156862745,0.109803921568627,14.4117647058824,144,0,"",NA
"E14",23,"E",14,0.101851851851852,0.101960784313725,0.109803921568627,14.6666666666667,144,0,"",NA
"E14",24,"E",14,0.104030501089325,0.105882352941176,0.113725490196078,14.9803921568627,144,0,"",NA
"E14",25,"E",14,0.106154684095861,0.105882352941176,0.113725490196078,15.2862745098039,144,0,"",NA
"E14",26,"E",14,0.108796296296296,0.109803921568627,0.117647058823529,15.6666666666667,144,0,"",NA
"E14",27,"E",14,0.110893246187364,0.109803921568627,0.117647058823529,15.9686274509804,144,0,"",NA
"E14",28,"E",14,0.113562091503268,0.113725490196078,0.12156862745098,16.3529411764706,144,0,"",NA
"E14",29,"E",14,0.116557734204793,0.117647058823529,0.125490196078431,16.7843137254902,144,0,"",NA
"E14",30,"E",14,0.119226579520697,0.117647058823529,0.129411764705882,17.1686274509804,144,0,"",NA
"E14",31,"E",14,0.122412854030501,0.12156862745098,0.129411764705882,17.6274509803922,144,0,"",NA
"E14",32,"E",14,0.125490196078431,0.125490196078431,0.133333333333333,18.0705882352941,144,0,"",NA
"E14",33,"E",14,0.129221132897603,0.129411764705882,0.137254901960784,18.6078431372549,144,0,"",NA
"E14",34,"E",14,0.133333333333333,0.133333333333333,0.141176470588235,19.2,144,0,"",NA
"E14",35,"E",14,0.136873638344227,0.137254901960784,0.149019607843137,19.7098039215686,144,0,"",NA
"E14",36,"E",14,0.141748366013072,0.141176470588235,0.152941176470588,20.4117647058824,144,0,"",NA
"E14",37,"E",14,0.148338779956427,0.149019607843137,0.16078431372549,21.3607843137255,144,0,"",NA
"E14",38,"E",14,0.154901960784314,0.152941176470588,0.168627450980392,22.3058823529412,144,0,"",NA
"E14",39,"E",14,0.161683006535948,0.16078431372549,0.176470588235294,23.2823529411765,144,0,"",NA
"E14",40,"E",14,0.169852941176471,0.168627450980392,0.184313725490196,24.4588235294118,144,0,"",NA
"E14",41,"E",14,0.17687908496732,0.176470588235294,0.192156862745098,25.4705882352941,144,0,"",NA
"E14",42,"E",14,0.181590413943355,0.180392156862745,0.2,26.1490196078431,144,0,"",NA
"E14",43,"E",14,0.185294117647059,0.184313725490196,0.203921568627451,26.6823529411765,144,0,"",NA
