"well","time_point","row","plate_column","mean_pixel_value","med_pixel_value","max_pixel_value","total_pixel_value","num_pixels","num_saturated","six_well_position","name","inducer","concentration_uM"
"J21",21,"J",21,0.234150326797386,0.235294117647059,0.282352941176471,33.7176470588236,144,0,"B3","ZBD","IPTG",50
"J21",22,"J",21,0.238398692810458,0.23921568627451,0.286274509803922,34.3294117647059,144,0,"B3","ZBD","IPTG",50
"J21",23,"J",21,0.242047930283225,0.23921568627451,0.282352941176471,34.8549019607843,144,0,"B3","ZBD","IPTG",50
"J21",24,"J",21,0.244880174291939,0.243137254901961,0.294117647058823,35.2627450980392,144,0,"B3","ZBD","IPTG",50
"J21",25,"J",21,0.249509803921569,0.250980392156863,0.317647058823529,35.9294117647059,144,0,"B3","ZBD","IPTG",50
"J21",26,"J",21,0.254275599128541,0.254901960784314,0.305882352941176,36.6156862745098,144,0,"B3","ZBD","IPTG",50
"J21",27,"J",21,0.258442265795207,0.258823529411765,0.317647058823529,37.2156862745098,144,0,"B3","ZBD","IPTG",50
"J21",28,"J",21,0.26181917211329,0.258823529411765,0.313725490196078,37.7019607843138,144,0,"B3","ZBD","IPTG",50
"J21",29,"J",21,0.267265795206972,0.266666666666667,0.329411764705882,38.486274509804,144,0,"B3","ZBD","IPTG",50
"J21",30,"J",21,0.272031590413944,0.270588235294118,0.333333333333333,39.1725490196079,144,0,"B3","ZBD","IPTG",50
"J21",31,"J",21,0.276062091503268,0.274509803921569,0.337254901960784,39.7529411764706,144,0,"B3","ZBD","IPTG",50
"J21",32,"J",21,0.279330065359477,0.27843137254902,0.337254901960784,40.2235294117648,144,0,"B3","ZBD","IPTG",50
"J21",33,"J",21,0.28374183006536,0.282352941176471,0.329411764705882,40.8588235294118,144,0,"B3","ZBD","IPTG",50
"J21",34,"J",21,0.286764705882353,0.286274509803922,0.352941176470588,41.2941176470589,144,0,"B3","ZBD","IPTG",50
"J21",35,"J",21,0.2890522875817,0.290196078431373,0.345098039215686,41.6235294117647,144,0,"B3","ZBD","IPTG",50
"J21",36,"J",21,0.293055555555556,0.294117647058823,0.345098039215686,42.2,144,0,"B3","ZBD","IPTG",50
"J21",37,"J",21,0.296323529411765,0.294117647058823,0.356862745098039,42.6705882352941,144,0,"B3","ZBD","IPTG",50
"J21",38,"J",21,0.299727668845316,0.298039215686275,0.352941176470588,43.1607843137255,144,0,"B3","ZBD","IPTG",50
"J21",39,"J",21,0.301742919389978,0.301960784313726,0.356862745098039,43.4509803921569,144,0,"B3","ZBD","IPTG",50
"J21",40,"J",21,0.305664488017429,0.305882352941176,0.352941176470588,44.0156862745098,144,0,"B3","ZBD","IPTG",50
"J21",41,"J",21,0.305718954248366,0.305882352941176,0.352941176470588,44.0235294117647,144,0,"B3","ZBD","IPTG",50
"J21",42,"J",21,0.308823529411764,0.309803921568627,0.352941176470588,44.4705882352941,144,0,"B3","ZBD","IPTG",50
"J21",43,"J",21,0.312336601307189,0.309803921568627,0.352941176470588,44.9764705882353,144,0,"B3","ZBD","IPTG",50
